XZI Gare_de_Lorraine_TGV Metz–Nancy France
OAI Bagram_Airfield Bagram Afghanistan
BIN Bamyan_Airport Bamyan Afghanistan
CCN Chaghcharan_Airport Chaghcharan Afghanistan
DAZ Darwaz_Airport Darwaz,_Badakhshan Afghanistan
FAH Farah_Airport Farah Afghanistan
FBD Fayzabad_Airport_(Faizabad_Airport) Fayzabad,_Badakhshan Afghanistan
GRG Gardez_Airport Gardez Afghanistan
GZI Ghazni_Airport Ghazni Afghanistan
HEA Herat_Airport Herat Afghanistan
JAA Jalalabad_Airport Jalalabad Afghanistan
KBL Kabul_International_Airport Kabul Afghanistan
KDH Kandahar_International_Airport Kandahar Afghanistan
KHT Khost_Airport Khost Afghanistan
KWH Khwahan_Airport Khwahan Afghanistan
KUR Razer_Airport Kron_Monjan_(Karanomunjan) Afghanistan
UND Kunduz_Airport Kunduz Afghanistan
BST Bost_Airport Lashkar_Gah_(Bost) Afghanistan
MMZ Maymana_Airport Maymana Afghanistan
MZR Mazari_Sharif_Airport Mazari_Sharif Afghanistan
IMZ Nimroz_Airport Nimroz Afghanistan
LQN Qala_i_Naw_Airport Qala_i_Naw Afghanistan
SBF Sardeh_Band_Airport Sardeh_Band Afghanistan
SGA Sheghnan_Airport Sheghnan Afghanistan
TQN Taloqan_Airport Taloqan Afghanistan
TII Tarin_Kowt_Airport Tarin_Kowt Afghanistan
ZAJ Zaranj_Airport Zaranj Afghanistan
TIA Tirana_International_Airport_Nënë_Tereza Tirana Albania
AZR Touat_Cheikh_Sidi_Mohamed_Belkebir_Airport Adrar Algeria
ALG Houari_Boumediene_Airport Algiers Algeria
AAE Rabah_Bitat_Airport_(Les_Salines_Airport) Annaba Algeria
BLJ Batna_Airport Batna Algeria
CBH Boudghene_Ben_Ali_Lotfi_Airport Béchar Algeria
BJA Soummam_Airport Bejaia Algeria
BSK Biskra_Airport Biskra Algeria
QLD Blida_Airport Blida Algeria
BMW Bordj_Badji_Mokhtar_Airport Bordj_Badji_Mokhtar Algeria
BUJ Bou_Saada_Airport Bou_Saada,_M'Sila Algeria
QFD Boufarik_Airport Boufarik Algeria
CFK Chlef_International_Airport Chlef Algeria
CZL Mohamed_Boudiaf_International_Airport Constantine Algeria
DJG Tiska_Airport Djanet Algeria
ELG El_Golea_Airport El_Golea Algeria
ELU Guemar_Airport El_Oued Algeria
GBB Gara_Djebilet_Airport Gara_Djebilet Algeria
GHA Noumérat_–_Moufdi_Zakaria_Airport Ghardaia Algeria
MUW Ghriss_Airport Ghriss Algeria
HME Oued_Irara_Airport Hassi_Messaoud Algeria
HRM Tilrempt_Airport Hassi_R'Mel Algeria
IAM In_Amenas_Airport In_Amenas Algeria
INF In_Guezzam_Airport In_Guezzam Algeria
INZ In_Salah_Airport In_Salah Algeria
GJL Jijel_Ferhat_Abbas_Airport Jijel Algeria
KDF Kouba_Airport Kouba Algeria
LOO Laghouat_Airport_(L'Mekrareg_Airport) Laghouat Algeria
MZW Mecheria_Airport Mecheria Algeria
ORN Oran_Es_Sénia_Airport Oran Algeria
TAF Oran_Tafaraoui_Airport Oran Algeria
QZN Relizane_Airport Relizane Algeria
QSF Ain_Arnat_Airport Setif Algeria
BFW Sidi_Bel_Abbès_Airport Sidi_Bel_Abbès Algeria
SKI Skikda_Airport Skikda Algeria
TMR Tamanrasset_Airport Tamanrasset Algeria
OFU Ofu_Airport Ofu American_Samoa
PPG Pago_Pago_International_Airport Pago_Pago American_Samoa
TAV Tau_Airport Tau American_Samoa
ALV Andorra_La_Vella_Airport Andorra_la_Vella Andorra
AZZ Ambriz_Airport Ambriz Angola
ANL Andulo_Airport Andulo Angola
BUG Benguela_Airport_(Gen._V._Deslandes_Airport) Benguela Angola
CAB Cabinda_Airport Cabinda Angola
CFF Cafunfo_Airport Cafunfo Angola
CNZ Cangamba_Airport Cangamba Angola
KNP Capanda_Airport Capanda Angola
CBT Catumbela_Airport Catumbela Angola
CAV Cazombo_Airport Cazombo Angola
CTI Cuito_Cuanavale_Airport Cuito_Cuanavale Angola
DRC Dirico_Airport Dirico Angola
DUE Dundo_Airport Dundo Angola
NOV Albano_Machado_Airport Huambo Angola
JMB Jamba_Airport Jamba,_Huíla Angola
LAD Quatro_de_Fevereiro_Airport Luanda Angola
UAL Luau_Airport Luau,_Moxico Angola
SDD Lubango_Airport Lubango Angola
LUO Luena_Airport Luena,_Moxico_Province Angola
